Optimasi Harga Jual Panen Tanaman Pangan Dengan Metode AHP berdasarkan data service BKPP pada pasar Komoditi;Fiftin Noviyanto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Optimasi Keamanan Ethernet Over Internet Protocol (EoIP) menggunakan Jaringan VPN;Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Optimasi Manajemen User Wireless Menggunakan Single Sign On Berbasis LDAP (Studi Kasus Laboratorium Riset UAD);Dr. Imam Riyadi, M.Kom.;Nur Rochmah DPA., S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.
Optimasi Penyimpanan Cache Menggunakan COSS (Cyclic Object Storage System) pada Proxy Server;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Optimasi Website FTI untuk Algoritma Google Panda dan Punguin;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Otomatisasi Pemisahan Bandwith IIX dan IX Menggunakan Mikrotik Router;Mushlihuddin, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Panduan Teknik Pijat Bayi Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pemanfaatan Aplikasi Multimedia Pada Iklan Layanan Masyarakat Untuk Meningkatkan Kesadaran Menggunakan Helm dan berkendara yang baik;Murinto, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pemanfaatan Cosine Similarity untuk Pencarian Laporan Temuan Audit Internal di Universitas Ahmad Dahlan;Dewi Soyusiawaty, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Pemanfaatan Data Mining Dalam Segmentasi Pelanggan Untuk Customer Relationship Mangement Dengan Fuzzy C-Means;Arfiani Nur Khusna, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Andri Pranolo, S.T., M.Cs.
Pemanfaatan Data Mining Untuk Mengklasifikasi Data alumni Dengan Menggunakan Algoritma K-Nearest Neighbour Di Universitas Ahmad Dahlan;Lisna Zahrotun, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Dewi Pramudi Ismi, S.T., M.CompSc
Pemanfaatan Google Map Service Untuk Sistem Informasi Pariwisata Kabupaten Gunung Kidul dengan Informasi Semi Real Time;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Pemanfaatan Google Maps API Untuk Membangun Sistem Informasi Manajemen Bnatuan Logistik Pasca Bencana Alam di Indonesia Berbasis Mobile Web;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pemanfaatan Google Maps Untuk Sistem Informasi Management Penanganan Bencana Banjir Kali Code Kota Yogyakarta;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pemanfaatan Metode Tefm Frequency Inverse Document Frequency (TF-IDF) Untuk Pencarian E-Journal;Dewi Soyusiawaty, S.T., M.T.;Herman Yuliansyah, S.T., M.Eng.;Arfiani Nur Khusna, S.T., M.Kom.
Pemanfaatan Multimedia dalam Sistem Pakar untuk mendiagnosa penyakit Tulang;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T.
pemanfaatan N-Gram pada pengembangan kamus indonesia-bima;Dewi Soyusiawaty, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.
Pemanfaatan Pembobotan TF-IDF Untuk Pencarian Data Skripsi;Dewi Soyusiawaty, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Pemanfaatan Sistem Informasi Geografi Untuk Menganalisis Kesesuaian Tata Ruang Kota Solo;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pemanfaatan Sistem Informasi Geografis untuk Pemetaan Industri Kecil di kabupaten Klaten Berbasis Web;Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.
Pemanfaatan Teknologi RSS dan WAP 2.0 dalam pembuatan Pusat Informasi UAD Berbasis Website dan Wapsite;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Pemanfaatan Text Wining Untuk Mengklasifikasi Judul Tugas Akhir Menggunakan Algoritma C4.5;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Pemanfaatan Webcam sebagai Peemantau Ruangan Kuliah Berbasis Web dan Pemanfaatan Google API.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
"Pemanfaatn Teknik Tweening dan Character Library Pada Pembuatan Film Animasi Pendek ""Indahnya Perbedaan Dalam Berteman""";Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pemanfaatn Text Mining Untuk Mendeteksi SMS Spam Berbau Porno Dengan Algoritma C4.5;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Pemanfaatna Client Server Dalam Pembuatan Simulasi dan Media Pembelajaran Alat Ukur SMK Jurusan Elektronika Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Mushlihuddin, S.T., M.T.
Pembangunan Aplikasi E-Menu pada Restoran Berbasis Android;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pembangunan Direktori Berbasis WEB SIG Untuk sarana Promosi Museum di Kota Yogyakarta;Nur Rochmah DPA, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembangunan Pelayanan Informasi Data Obat untuk Apoteker dan masyarakat Berbasis Web.;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Pembangunan Sistem Basis Data Terdistribusi Dengan Menggunakan Metode Replikasi Asyncronous pada Sistem Computer Based Test UKDGI (Ujian Kompetensi Dokter Gigi Indonesia);Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pembangunan Sistem Informasi Agenda Majelis Ilmu Pada Masjid DIY Menggunakan GMAP dan Twitter API Berbasis Web Mobile;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pembangunan Sistem Informasi Geografis Objek Hunting Foto di Yogyakarta Menggunakan Google Maps Api Berbasis Mobile Web;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Murinto, S.Si., M.Kom.
Pembangunan Sistem Informasi Pengelolaan Penyewaan Lapangan Fursal Berbasis Web di Yogyakarta;Eko Aribowo, S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.;Ika Arfiani, S.T., M.Cs.
Pembangunan Sistem Multiuser Berbasis Web Services untuk Integrasi data Obat antar Klinik Kesehatan di Kawasan Prambanan, Klaten;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pembangunan sistem pencarian lokasi dengan geolocation berdasarkan GPS berbasis mobile web;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Pembangunan Web Service SI Administrasi Kependudukan;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Pembelajaran Bahasa Jepang Dasar Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembelajaran Logika Informatika Pada Pokok Bahasa Rangkaian Logika Kombinasional Berbasis Multimedia;Dewi Soyusiawaty, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pembelajaran Logika Matematika Pada Pokok Bahasan Logika Algoritma Berbasis Multimedia;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
"Pembuatan Animasi Gatot Kaca ""Kejahilan Yang Berbuah Pahit"" Berbasis Animasi 3Dimensi Menggunakan Autodesk Maya 2014";Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
"Pembuatan Animasi Gatotkaca 3D Menggunakan Software Autodesk maya ""Kejujuran membawa ketenangan""";Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pembuatan Aplikasi Android Pencarian Kafe atau Rumah Makan di Yogyakarta Menggunakan Teknologi Augmented Reality;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Taufiq Ismail, S.T., M.Cs.
Pembuatan Aplikasi Mobile Penyandian Huruf dan Angka Serta Tanda Baca Menjadi Bunyi Morse;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Pembuatan Aplikasi Multimedia Pembelajaran Bahasa Daerah Dayak Sampit Tentang Percakapan Sehari-hari untuk SD;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pembuatan Aplikasi Pembelajaran Matematika Tentang Satuan Waktu dan Panjang Untuk Sekolah dasar Kelas satu;Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.
Pembuatan Aplikasi SCM Berbasis Web Service untuk Membantu Didtribusi Batik Menggunakan PHP dan MySQL;Fiftin Novianto, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pembuatan Architectur Enterprise Planning di kantor Universitas dan Urusan Internasional dengan Kerangka kerja zachman;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Arif Rachman, S.Si., M.T.
Pembuatan Arsitektur Enterprise Menggunakan Enterprise Architecture Planning Untuk Strategis Sistem Informasi (Studi Kasus : Panti sosial pamardi putra);Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Arsitektur Enterprise pada Lembaga Penanggulangan Bencana Muhammadiyah PP Muh. Yk dengan Menggunakan Kerangka Kerja Zachman;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan E- Masjid Sebagai Peangkat Lunak Manajeman Aset dan Operasional Masjid Berbasis Cloud Application Menggunakan Metode User Centered Design (UCD);Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Pembuatan Enterprise Architecthure Planning Menggunakan Kerangka Kerja Zachman di Kantor PP Muhammadiyah Yk Studi Kasus majlis Pustaka dan Informasi Muhammadiyah Yk);Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan Enterprise Architecture Planning di Dinas Kebudayaan DIY dengan Menggunakan Kerangka Zachman;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Enterprise Architecture Planning Menggunakan Kerangka Kerja Zachman (Studi Kasus Kantor PP Muhammadiyah Yogyakarta);Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan Enterprise Architecture Planning Teknologi Informasi dengan Metode Zachman (Studi Kasus Biro Akadamik dan Admisi Univ. XYZ);Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Arif Rachman, S.Si., M.T.
Pembuatan Enterprise Architecture Planning Teknologi Informasi dengan Metode Zachman (Studi Kasus LP2S Univ. XYZ);Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Arif Rachman, S.Si., M.T.
"Pembuatan Film Animasi "" Dasyatnya sedekah"" berbasis Multimedia menggunakan teks frame by frame dan tweening";Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
"Pembuatan Film Animasi 3D ""Gatotkaca Suka Menolong"" Menggunakan Metode 3D Production Pepiline";Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
"Pembuatan Film Animasi Gatotkaca Berbasis Animasi 3D Scene ""KejahilanDursala dan  Prabasa "" Menggunakan Autodesk Maya 2014";Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
"Pembuatan Fiml Animasi 2D ""Bang jail"" Teknik Digital Painting";Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Fiftin Noviyanto, S.T., M.Cs.
"Pembuatan Game 3D Action Role Playing Game Unity(""The Story of Karna"" - ""Karna Son of Surya""";Adhi Prahara, S.Si., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Pembuatan master Plan Pengembangan SI di LPM Menggunakan Kerangka Kerja Zachman (Studi Kasus : Univ XYZ);Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Tawar AG, S.Si., M.Kom.
Pembuatan Media Pembelajaran untuk Proses Konversi pada Finite Automata Berbasis Multimedia;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.
Pembuatan Model CRM (Customer Relationship Management) Di Dinas Kelautan Dan Perikanan Provinsi DIY Pada Bidang Kelautan Dan Pesisir Menggunakan Metode Cobit 4.1;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Arfiani Nur Khusna, S.T., M.Kom.
Pembuatan Model CRM dengan Metode Custemer Centrik pada PT Surveyor Indonesia;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM di Dinas Kelautan dan Perikanan;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM di Disperindagkop dan UKM;Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM di PT. Mandar Utama Tiga dengan Metode Operational, Analytical dan Collaborative;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM di Seksi Koperasi Menggunakan Metode Cobit 4.1 (SK :Di DISPERINDANGKOP DIY);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model CRM E-Government di Dinas Pertanian Pemerintah DIY Bidang Tanaman Hortikultura;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM E-Government di Provinsi DIY ;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM E-Government Menggunakan Metode Logika Fuzzy di Dinas Perizinan Kota Yogyakarta;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model CRM Menggunakan Metode IRIS pada Bidang Finansial di Universitas XYZ;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM Pada Don'Q Donuts bantul;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model CRM pada XT Square Yogyakarta;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model CRM Pelayanan Service Sepeda Motor di Yamaha Budi Jaya;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model CRM perusahaan Fashion Online XYZ;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.
Pembuatan Model CRM yang Terkait dengan Bidang Perhubungan di Dishubkominfo DIY;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Customer Relatinship Management (CRM) Bidang Perdagangan (Studi Kasus Dinas Perindustrian Perdagangan Koperasi UKM);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Managemen (CRM) Pada Dinas Kesehatan DIY;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Managemen (CRM) pada Dinas Kesehatan Kota Yogyakarta.;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Managemen (CRM) Pada PT. Naturindo Fresh;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Management (CRM) Bidang Perindustrian Perdagangan Koperasi Dan UKM Provinsi DIY;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Management (CRM) Di Dinas Kelautan Dan Perikanan Provinsi DIY Pada Bidang Bina Usaha Menggunakan Metode Cobit 4.1;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Customer Relationship Management (CRM) Di Dinas Kelautan Dan Perikanan Provinsi DIY Pada Bidang Perikanan Menggunakan Metode Cobit 4.1;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Customer Relationship Management (CRM) Dinas Kebudayaan dan Kepariwisataan Kabupaten Gunungkidul Menggunakan Metode Cobit 4.1;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Pembuatan Model Customer Relationship Management (CRM) Pada Bidang Pengolahan dan Pemasaran Dinas Pertanian DIY;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs;Arfiani Nur Khusna, S.T., M.Kom.
Pembuatan Model Customer Relationship Management (CRM) Pada Bidang Peternakan Dinas Pertanian DIY;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Pembuatan Model Customer Relationship Management (CRM) Pada Bidang Tanaman Pangan Dinas Pertanian DIY;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs;Arfiani Nur Khusna, S.T., M.Kom.
Pembuatan Model Customer Relationship Management (CRM) Pada Gerai Pelayanan Perijinan Terpadu COBIT 4.1;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Customer Relationship Management (CRM) UPTD Balai Pengawas Dan Sertifikasi Benih Pertanian Dinas Pertanian DIY;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Management di RSKIA Permata Bunda;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Customer Relationship Management Pada Klinik Kandungan Menggunakan Value Chain;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Enterprise Resource Planning (ERP) di Dinas Kesehatan Provinsi DIY;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Enterprise Resource Planning (ERP) pada XT Square Yogyakarta;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Enterprise Resource Planning Pada Kantor Dinas Ketahanan Pangan Kabupaten Klaten;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Keamanan Data Pada E-Commerce dengan Kerangka Kerja Zachman;Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Pembuatan Model Manajemen Perubahan Pada Pengembangan E-Governmnet Dinas Pertanian Provinsi DIY;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Manajemen Perubahan Pada Pengembangan E-Governmnet menggunakan Model TAM Disperindagkop Provinsi DIY;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Manajemen Resiko Pada Pengelolaan Infrastruktur Teknnologi Informasi (TI) di Biskom UAD;Dr. Imam Riyadi, M.Kom.;Sri Handayaningsih, S.T., M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Pembuatan Model Manajemen Resiko Pada Pengelolaan Sistem Sumber Daya Manusia Menggunakan Framework Cobit 5;Sri Handayaningsih, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Pembuatan Model Manajemen Risiko Pada Proses Pengelolaan Ruang Di Universitas Ahmad Dahlan;Sri Handayaningsih, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Pelayanan (Service) Pada Mahasiswa Mengginakan ITIL di UAD;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rancangan Supply Chain Management Pada PT. Primissima Menggunakan Metode EOQ;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Rencana Strategi Pengembangan SI/TI Rumah Sakit dengan Zachman Framework;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rencana Strategis Pengembangan E-Government ( Studi Kasus : Dinas Kelautan dan Perikanan DIY);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rencana Strategis Pengembangan E-Government Dinas Perhubungan , Komunikasi dan Informatika;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rencana Strategis SI/TI (Studi Kasus : BAA Universitas XYZ);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rencana Strategis SI/TI Bidang Penyelenggaraan Haji dan Umroh;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Rencana Strategis SI/TI Homestay Venezia;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Pembuatan Model S1 Pada Penerbit Buku Dengan Menggunakan Kerangka Kerja Zachman ( Studi Kasus : CV Diandra Primamitra Media);Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model SI pada Dinas Provinsi DIY mengguna SOA;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model SI/TI dengan COBIT 4.1 dan Kerangka Kerja Zachman di Kantor Ketahanan Pangan Kab. Klaten;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Sistem Enterprise Resource Palnnaing (Studi Kasus Panti sosial pamardi putra);Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Model Sistem Informasi di Dishubkominfo Provinsi DIY Menggunakan Kerangka Kerja Kerja Togaf Berbasis SOA (Service Oriented Architecture);Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Sistem Informasi E-Government Menggunakan Kerangka Kerja Togaf ADM Berbasis SOA di Dinas Kelautan & Perikanan DIY;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Sistem Informasi pada Badan Kerjasama dan Penanaman Modal (BKPM) Provinsi DIY Berbasis SOA (Service Oriented Architecthure);Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Sistem Informasi Pada Dinas Kesehatan Provinsi DIY Menggunakan SOA;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pembuatan Model Sistem M-Government;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
Pembuatan Model Supply Chain Managemen (SCM) pada CV Artha Wibisono;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Pembuatan Model Tata Kelola TI Bidang Layanan Haji Pada Kementrian Agama Kota Yogyakarta;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
pembuatan Program aplikasi trankterator teks Berbahasa Jepang dari Huruf Latin Menjadi Japanese Kana (Hiragana dan Katakana);Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Pembuatan Sistem CRM CV. Gallery Art Berbasis Web;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pembuatan Sistem Informasi Akutansi Simpan Pinjam Kopeasi dengan Menggunakan Kerangka Kerja Zachman Framework (studi Kasus : Koperasi);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
